Stimulated Channel,Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15
None,1305625.38 Ohm,1562392.77 Ohm,790695.55 Ohm,792342.71 Ohm,1566359.56 Ohm,1413954.53 Ohm,821710.23 Ohm,870123.27 Ohm,870935.36 Ohm,879951.67 Ohm,1561155.23 Ohm,729119.58 Ohm,725017.49 Ohm,1604029.68 Ohm,1472464.90 Ohm,1402209.62 Ohm
12,1318193.96 Ohm,1560437.49 Ohm,791010.29 Ohm,802153.28 Ohm,1565165.02 Ohm,1381478.57 Ohm,817427.11 Ohm,863837.27 Ohm,861952.78 Ohm,887500.99 Ohm,1565138.32 Ohm,722804.05 Ohm,722351.34 Ohm,1608619.41 Ohm,1476744.77 Ohm,1409945.26 Ohm
4,1374509.72 Ohm,1604512.43 Ohm,203045.91 Ohm,204977.29 Ohm,1584469.99 Ohm,1488591.76 Ohm,855003.45 Ohm,883555.43 Ohm,893722.34 Ohm,900187.18 Ohm,1577456.28 Ohm,736846.76 Ohm,739911.33 Ohm,1499597.08 Ohm,1491913.58 Ohm,1532390.81 Ohm
5,1365283.83 Ohm,1606795.02 Ohm,131547.86 Ohm,131125.14 Ohm,1584132.63 Ohm,1514433.55 Ohm,857324.75 Ohm,890945.42 Ohm,895030.16 Ohm,903664.81 Ohm,1585016.55 Ohm,743944.24 Ohm,737099.38 Ohm,1585077.83 Ohm,1495391.61 Ohm,1524459.03 Ohm
10,1351604.72 Ohm,1602691.81 Ohm,135060.99 Ohm,135866.52 Ohm,119420.82 Ohm,1483858.58 Ohm,843755.72 Ohm,888133.25 Ohm,888298.36 Ohm,899638.18 Ohm,1578378.96 Ohm,733805.81 Ohm,738790.51 Ohm,1617638.60 Ohm,1493747.21 Ohm,1493982.36 Ohm
11,1273210.21 Ohm,1210105.04 Ohm,145233.74 Ohm,145401.07 Ohm,115454.86 Ohm,1563072.52 Ohm,858688.03 Ohm,892688.67 Ohm,901910.67 Ohm,904622.61 Ohm,1583904.85 Ohm,737369.69 Ohm,741085.41 Ohm,1598183.62 Ohm,1492644.62 Ohm,1557017.05 Ohm
2,1268565.51 Ohm,1613426.42 Ohm,169803.79 Ohm,171061.92 Ohm,116031.51 Ohm,1487057.96 Ohm,853864.71 Ohm,880952.78 Ohm,885330.80 Ohm,910209.38 Ohm,1577650.83 Ohm,739917.47 Ohm,738942.54 Ohm,1491142.37 Ohm,1486289.55 Ohm,1492105.35 Ohm
3,1257747.31 Ohm,1614924.43 Ohm,170485.58 Ohm,169228.06 Ohm,115051.59 Ohm,1461430.40 Ohm,845936.56 Ohm,890566.12 Ohm,882586.90 Ohm,911094.89 Ohm,1581025.43 Ohm,737864.22 Ohm,735450.17 Ohm,1575680.42 Ohm,1485319.92 Ohm,1540758.54 Ohm
8,1269774.51 Ohm,1613233.06 Ohm,168544.50 Ohm,168567.90 Ohm,114515.40 Ohm,1465539.50 Ohm,849794.91 Ohm,890692.68 Ohm,880333.22 Ohm,909133.09 Ohm,1583632.40 Ohm,744487.04 Ohm,742227.85 Ohm,1526326.42 Ohm,1487362.44 Ohm,1447697.02 Ohm
9,1273791.94 Ohm,1176487.95 Ohm,172783.86 Ohm,174089.02 Ohm,113700.71 Ohm,1541519.16 Ohm,857670.58 Ohm,885154.11 Ohm,882695.07 Ohm,912515.74 Ohm,1583136.60 Ohm,738672.31 Ohm,738282.54 Ohm,1533216.68 Ohm,1489774.16 Ohm,1559770.49 Ohm
0,1213227.06 Ohm,1578999.09 Ohm,174992.91 Ohm,173571.57 Ohm,111844.18 Ohm,1435525.19 Ohm,823816.97 Ohm,869464.65 Ohm,862801.62 Ohm,882446.63 Ohm,1559126.98 Ohm,718538.21 Ohm,720689.34 Ohm,1613530.40 Ohm,1477026.43 Ohm,1367349.07 Ohm
1,1234496.09 Ohm,1601272.36 Ohm,175346.45 Ohm,174409.93 Ohm,112333.06 Ohm,1485508.27 Ohm,847693.90 Ohm,880536.31 Ohm,880514.07 Ohm,893540.42 Ohm,1579728.10 Ohm,735967.92 Ohm,730476.72 Ohm,1433916.17 Ohm,1486179.53 Ohm,1441811.79 Ohm
13,1262407.79 Ohm,1610009.98 Ohm,177470.75 Ohm,176460.72 Ohm,112153.98 Ohm,1461086.34 Ohm,841265.60 Ohm,881230.42 Ohm,882340.99 Ohm,900274.92 Ohm,1577443.74 Ohm,730152.83 Ohm,736391.28 Ohm,1466459.49 Ohm,1489549.74 Ohm,1488400.01 Ohm
6,1261776.63 Ohm,1610698.36 Ohm,185033.20 Ohm,182454.71 Ohm,112389.04 Ohm,1505777.81 Ohm,844618.77 Ohm,886851.58 Ohm,887024.69 Ohm,890098.71 Ohm,1576031.45 Ohm,736212.62 Ohm,733619.33 Ohm,125768.66 Ohm,1491808.35 Ohm,1516586.94 Ohm
7,1261620.32 Ohm,1608492.39 Ohm,176905.54 Ohm,176678.55 Ohm,111878.12 Ohm,1491471.54 Ohm,843258.01 Ohm,886427.97 Ohm,885705.50 Ohm,893612.53 Ohm,1574855.36 Ohm,738015.69 Ohm,736401.52 Ohm,137168.89 Ohm,122187.01 Ohm,1479666.87 Ohm
15,1265585.43 Ohm,1141122.30 Ohm,176838.11 Ohm,169601.77 Ohm,109368.02 Ohm,1536233.35 Ohm,850841.68 Ohm,887832.86 Ohm,881733.60 Ohm,903277.00 Ohm,1588600.15 Ohm,746847.27 Ohm,733477.89 Ohm,139336.61 Ohm,116733.45 Ohm,1613175.34 Ohm
