Stimulated Channel,Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15
None,1816155.84 Ohm,1216873.63 Ohm,907335.71 Ohm,653667.92 Ohm,725021.64 Ohm,3023361.81 Ohm,2943420.81 Ohm,1167346.47 Ohm,1104681.11 Ohm,1332563.73 Ohm,1158849.76 Ohm,1581659.41 Ohm,704411.44 Ohm,852446.83 Ohm,786638.87 Ohm,807281.76 Ohm
12,1911823.91 Ohm,1209348.39 Ohm,905038.82 Ohm,727482.68 Ohm,721861.68 Ohm,2955044.02 Ohm,2991810.69 Ohm,1156607.73 Ohm,1130559.02 Ohm,1361498.11 Ohm,1191171.36 Ohm,1940844.43 Ohm,727060.97 Ohm,883363.51 Ohm,793514.02 Ohm,814579.16 Ohm
4,1615147.47 Ohm,1245911.80 Ohm,901864.33 Ohm,688929.09 Ohm,736507.53 Ohm,3151719.43 Ohm,3005152.39 Ohm,1172992.09 Ohm,1167904.12 Ohm,1437233.77 Ohm,1281930.83 Ohm,2324219.68 Ohm,803136.11 Ohm,1084344.19 Ohm,1241423.82 Ohm,2176814.53 Ohm
5,1614886.98 Ohm,1245165.06 Ohm,1428166.48 Ohm,751740.08 Ohm,1508159.84 Ohm,3098493.80 Ohm,2816466.58 Ohm,1161429.33 Ohm,1162347.87 Ohm,1434983.21 Ohm,1305755.60 Ohm,2316160.72 Ohm,818194.79 Ohm,1093163.13 Ohm,1232735.14 Ohm,2304229.42 Ohm
10,1768146.64 Ohm,1227613.75 Ohm,924191.87 Ohm,715457.99 Ohm,786109.67 Ohm,3061044.51 Ohm,2968352.91 Ohm,1142253.23 Ohm,1156629.31 Ohm,1436563.20 Ohm,1272517.93 Ohm,2390876.57 Ohm,776131.24 Ohm,1076758.38 Ohm,1215040.84 Ohm,2542162.37 Ohm
11,1786500.23 Ohm,1262068.02 Ohm,612751.36 Ohm,498200.44 Ohm,690399.35 Ohm,3258999.89 Ohm,3014134.56 Ohm,1158746.11 Ohm,1184771.18 Ohm,1467569.47 Ohm,1316199.48 Ohm,2423039.88 Ohm,781771.36 Ohm,1095440.99 Ohm,1237826.58 Ohm,2470195.34 Ohm
2,1798491.56 Ohm,1269546.05 Ohm,626126.52 Ohm,570468.06 Ohm,689987.94 Ohm,3266825.25 Ohm,3100118.65 Ohm,1151328.86 Ohm,1155510.45 Ohm,1455347.31 Ohm,1307029.88 Ohm,2363013.94 Ohm,777186.99 Ohm,1102706.45 Ohm,1231462.43 Ohm,2681236.71 Ohm
3,1811716.13 Ohm,1278569.11 Ohm,631590.70 Ohm,881628.39 Ohm,766494.60 Ohm,3306512.37 Ohm,2908836.82 Ohm,738148.64 Ohm,1213261.86 Ohm,1473915.28 Ohm,1292265.05 Ohm,2383704.54 Ohm,788911.91 Ohm,1099421.65 Ohm,1227719.75 Ohm,2674398.98 Ohm
8,1855258.60 Ohm,1284619.15 Ohm,652154.64 Ohm,778019.83 Ohm,760800.86 Ohm,3127213.58 Ohm,2684240.78 Ohm,705925.90 Ohm,1019479.29 Ohm,1461180.11 Ohm,1310740.93 Ohm,2324208.13 Ohm,783839.26 Ohm,1103740.82 Ohm,1225483.07 Ohm,2446236.89 Ohm
9,1798097.46 Ohm,1292908.88 Ohm,653765.49 Ohm,769505.67 Ohm,772882.97 Ohm,3313156.43 Ohm,2871175.57 Ohm,696014.50 Ohm,1065556.69 Ohm,910984.79 Ohm,1322705.45 Ohm,2445954.29 Ohm,775941.16 Ohm,1124580.02 Ohm,1251508.82 Ohm,2536418.76 Ohm
0,1767290.10 Ohm,1301133.42 Ohm,665272.25 Ohm,783193.66 Ohm,751993.83 Ohm,3138315.52 Ohm,2947283.67 Ohm,686725.12 Ohm,927722.50 Ohm,809507.04 Ohm,665382.38 Ohm,2420362.32 Ohm,784087.00 Ohm,1132550.41 Ohm,1256792.97 Ohm,2710834.10 Ohm
1,1813322.36 Ohm,1324076.79 Ohm,670153.95 Ohm,819031.31 Ohm,748982.52 Ohm,3073882.92 Ohm,2986033.13 Ohm,700157.62 Ohm,943664.92 Ohm,842839.79 Ohm,726753.01 Ohm,2566690.68 Ohm,1074296.50 Ohm,1117300.03 Ohm,1249645.62 Ohm,2561977.05 Ohm
13,1814475.58 Ohm,1321081.57 Ohm,671765.78 Ohm,425256.12 Ohm,756704.34 Ohm,2959263.58 Ohm,2989517.17 Ohm,692530.81 Ohm,916597.01 Ohm,845584.06 Ohm,720529.37 Ohm,2367811.92 Ohm,621696.03 Ohm,1139104.96 Ohm,1248087.40 Ohm,2660494.61 Ohm
6,1848517.19 Ohm,1316324.33 Ohm,675413.82 Ohm,673064.35 Ohm,747668.58 Ohm,3199694.80 Ohm,2838591.41 Ohm,700098.70 Ohm,924924.78 Ohm,843708.64 Ohm,704474.10 Ohm,2275570.90 Ohm,627347.15 Ohm,772221.75 Ohm,1258339.35 Ohm,2633108.06 Ohm
7,1851027.26 Ohm,1334031.83 Ohm,679144.23 Ohm,709253.40 Ohm,757343.76 Ohm,3097824.78 Ohm,2954271.06 Ohm,697273.32 Ohm,913408.69 Ohm,859368.48 Ohm,711254.53 Ohm,2403336.01 Ohm,598305.94 Ohm,696108.74 Ohm,695303.94 Ohm,2525328.99 Ohm
15,1760051.85 Ohm,1316716.27 Ohm,671772.05 Ohm,718582.50 Ohm,710608.24 Ohm,3206489.44 Ohm,2867574.44 Ohm,696028.69 Ohm,866083.18 Ohm,799292.74 Ohm,711581.22 Ohm,2180637.60 Ohm,557041.48 Ohm,725296.05 Ohm,577830.99 Ohm,2239483.96 Ohm
