Stimulated Channel,Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15
None,301082.38 Ohm,1475.88 Ohm,78103.13 Ohm,1849.27 Ohm,225637.80 Ohm,247685.31 Ohm,296126.16 Ohm,294600.37 Ohm,227548.05 Ohm,121316.89 Ohm,94904.50 Ohm,69087.22 Ohm,59190.72 Ohm,302258.53 Ohm,348184.55 Ohm,340478.43 Ohm
12,289141.16 Ohm,1436.80 Ohm,78297.23 Ohm,1881.30 Ohm,219327.01 Ohm,243360.59 Ohm,288258.61 Ohm,287524.59 Ohm,226701.31 Ohm,137124.80 Ohm,93704.83 Ohm,67000.34 Ohm,58073.73 Ohm,295133.76 Ohm,331781.58 Ohm,331428.37 Ohm
4,735815.38 Ohm,1394.39 Ohm,421522.51 Ohm,1836.37 Ohm,766474.32 Ohm,729750.72 Ohm,696680.19 Ohm,744769.88 Ohm,756242.04 Ohm,761935.65 Ohm,805867.45 Ohm,668855.26 Ohm,728463.66 Ohm,826437.54 Ohm,729496.18 Ohm,740730.01 Ohm
5,1955834.21 Ohm,1461.99 Ohm,2221346.08 Ohm,1837.69 Ohm,2059941.06 Ohm,2163063.27 Ohm,1577293.33 Ohm,1393509.62 Ohm,1410623.61 Ohm,2237892.48 Ohm,2399787.29 Ohm,1962387.06 Ohm,2032499.55 Ohm,2069493.47 Ohm,1986478.75 Ohm,2218742.19 Ohm
10,1923315.97 Ohm,1511.67 Ohm,2192712.07 Ohm,1843.03 Ohm,980439.27 Ohm,2091962.41 Ohm,1577251.13 Ohm,1380155.59 Ohm,1424299.31 Ohm,2265312.45 Ohm,2313659.52 Ohm,1956681.67 Ohm,1964035.35 Ohm,2034746.24 Ohm,2027261.41 Ohm,2157719.24 Ohm
11,1941228.81 Ohm,1425.71 Ohm,2228222.29 Ohm,1856.95 Ohm,1049831.78 Ohm,1805941.21 Ohm,2004704.55 Ohm,1531150.09 Ohm,1447115.22 Ohm,2187991.24 Ohm,2323546.09 Ohm,1961064.81 Ohm,1796226.80 Ohm,2131907.90 Ohm,2164926.16 Ohm,2130216.44 Ohm
2,1964095.48 Ohm,1422.02 Ohm,2326420.72 Ohm,1869.39 Ohm,980087.43 Ohm,1554136.80 Ohm,109765.69 Ohm,1471661.77 Ohm,1386807.86 Ohm,2067328.22 Ohm,2454817.82 Ohm,2135929.26 Ohm,1901573.29 Ohm,2019196.85 Ohm,1942658.13 Ohm,2140697.47 Ohm
3,1785940.45 Ohm,1447.40 Ohm,2334682.09 Ohm,1936.51 Ohm,1113095.64 Ohm,1826921.64 Ohm,108454.64 Ohm,105273.05 Ohm,1316809.85 Ohm,2401498.91 Ohm,2451191.25 Ohm,1966131.56 Ohm,1777597.04 Ohm,2097922.91 Ohm,2041126.53 Ohm,2420448.97 Ohm
8,1883541.52 Ohm,1457.57 Ohm,2232061.90 Ohm,1777.04 Ohm,1085201.57 Ohm,1601186.43 Ohm,108289.90 Ohm,103707.73 Ohm,93844.23 Ohm,2056458.70 Ohm,2495539.26 Ohm,2151314.82 Ohm,2137200.23 Ohm,2049050.91 Ohm,2069032.07 Ohm,2112211.81 Ohm
9,1980357.26 Ohm,1374.06 Ohm,2207480.16 Ohm,1922.12 Ohm,1144094.69 Ohm,1593724.51 Ohm,107630.99 Ohm,103279.77 Ohm,90030.32 Ohm,101816.44 Ohm,2432816.31 Ohm,2023300.12 Ohm,1960082.52 Ohm,2015584.08 Ohm,1949985.53 Ohm,2196145.19 Ohm
