Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,11907604.865642762,-19.38894046187475
150,7258168.212664412,-55.045631637385206
250,5001781.630193249,-62.90908525061738
350,4032281.7242050953,-74.4194485990044
450,3204524.687085782,-77.21130278559758
550,2689602.685744598,-80.3216157490866
650,2317330.961247153,-84.06606164029675
750,1957859.050218803,-83.3282186144327
850,1727665.3392985205,-86.3204037476385
950,1627542.0950550486,-89.47261754429762
1050,1468290.2753711045,-90.82220472687023
