Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,15636725.368634868,-34.99967403405242
150,8646676.64363498,-52.3920706249572
250,5924410.324991219,-64.17655820411494
350,4532534.470988655,-72.8166355597484
450,4171071.3441523137,-77.10442862192599
550,3524918.2221187255,-82.37185367070484
650,2995254.762642103,-87.52708593761538
750,2657548.198894524,-90.84208391047005
850,2328962.051953855,-94.62343489545455
950,2150972.0201103315,-97.2474343325345
1050,1947794.5396703868,-100.52425225607688
