Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,19602198.829007342,-36.08439313469235
150,10411666.56396372,-74.5430310848955
250,7170633.3731622,-82.86845188241168
350,5581267.286126936,-84.64962872764357
450,4208334.347651988,-87.70167819885178
550,3489381.24623927,-90.24089296678571
650,2955484.6740979184,-93.65610254833716
750,2583538.286793104,-96.06075717900133
850,2272421.6553156083,-98.36148737896477
950,2103069.276401531,-100.65515086651489
1050,1890743.6217747426,-102.33987389932228
