Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,3257158.882315836,-5.475958619208224
150,393992.6328437738,-19.661430332595863
250,290581.3260464709,-24.191383338478413
350,262059.8759915301,-21.958207434933957
450,230983.4858191144,-18.551213887746716
550,209635.5301130402,-13.836873961045635
650,201170.06053712478,-18.52162968269919
750,189502.04959386526,-19.345367517467153
850,267994.021094311,-53.21563525746779
950,317421.7280396467,-43.69750101252305
1050,259423.6036599658,-49.05800290307589
