Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,20044382.625096217,-45.76918101926418
150,7410377.747927539,-63.836876440433514
250,5202874.1686065635,-73.27456929310593
350,4012479.47282957,-80.34344331486348
450,3305745.7993972264,-86.33094851120856
550,2776163.522901552,-91.0391190371721
650,2335561.6915140655,-96.1897735044796
750,2013476.5563631572,-99.69891055194304
850,1779279.3889417138,-103.70885208238494
950,1627841.4387497646,-106.79429094494401
1050,1478134.3554139745,-110.43100011388618
