Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,209637.86822682418,-22.35612839919913
150,156604.0063623275,-22.439337938045163
250,142379.9458747993,-23.162901489311224
350,134145.72351679456,-25.03419283888648
450,127755.2906405188,-27.324934454752242
550,122179.69958609782,-29.700055104897416
650,116944.55919050491,-32.26635123478185
750,112630.1288178058,-34.58237370905605
850,108476.71726561684,-37.15128952023505
950,105459.75188351164,-38.96250306078201
1050,102116.59215345148,-41.38869892413632
