Stimulated Channel,Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15
None,446859.62 Ohm,476709.77 Ohm,538354.22 Ohm,473449.50 Ohm,558944.46 Ohm,692803.83 Ohm,790311.53 Ohm,760516.12 Ohm,654678.14 Ohm,527755.37 Ohm,477102.91 Ohm,398472.83 Ohm,445472.98 Ohm,464777.58 Ohm,668282.26 Ohm,654875.40 Ohm
12,550280.77 Ohm,606501.50 Ohm,602943.06 Ohm,510908.94 Ohm,600167.08 Ohm,862770.58 Ohm,699906.47 Ohm,623806.81 Ohm,607915.63 Ohm,570340.01 Ohm,539261.28 Ohm,427601.52 Ohm,447330.26 Ohm,448712.95 Ohm,485197.54 Ohm,636509.93 Ohm
4,499445.22 Ohm,557189.67 Ohm,544496.63 Ohm,468360.54 Ohm,575651.05 Ohm,682947.84 Ohm,560920.77 Ohm,488076.50 Ohm,431802.99 Ohm,468099.34 Ohm,448309.12 Ohm,415218.62 Ohm,453474.41 Ohm,462669.26 Ohm,448105.64 Ohm,505958.27 Ohm
5,621474.29 Ohm,706335.60 Ohm,693528.16 Ohm,554230.91 Ohm,714661.83 Ohm,858915.65 Ohm,661334.68 Ohm,560570.56 Ohm,495122.73 Ohm,544274.83 Ohm,512821.67 Ohm,492499.35 Ohm,524026.96 Ohm,533754.47 Ohm,519764.02 Ohm,576778.76 Ohm
10,616378.25 Ohm,745567.36 Ohm,798588.11 Ohm,616401.66 Ohm,743668.09 Ohm,933130.98 Ohm,766682.57 Ohm,617006.62 Ohm,520924.89 Ohm,555395.23 Ohm,533501.67 Ohm,527549.04 Ohm,572161.77 Ohm,582630.53 Ohm,590872.25 Ohm,649973.73 Ohm
11,523124.05 Ohm,637250.27 Ohm,783088.27 Ohm,587809.44 Ohm,709723.18 Ohm,917427.40 Ohm,839573.82 Ohm,633045.57 Ohm,532633.11 Ohm,532397.97 Ohm,526007.97 Ohm,522330.38 Ohm,561364.89 Ohm,577868.48 Ohm,603486.62 Ohm,628488.83 Ohm
2,642294.02 Ohm,766227.89 Ohm,905615.79 Ohm,699524.65 Ohm,871089.32 Ohm,1190030.91 Ohm,975440.32 Ohm,752462.87 Ohm,620485.90 Ohm,635135.33 Ohm,611130.28 Ohm,585202.79 Ohm,638032.09 Ohm,663723.93 Ohm,713578.34 Ohm,742130.02 Ohm
3,666159.35 Ohm,827580.56 Ohm,949889.22 Ohm,714135.99 Ohm,872191.37 Ohm,1145118.13 Ohm,992840.90 Ohm,744900.03 Ohm,616774.15 Ohm,608105.95 Ohm,599619.87 Ohm,571710.67 Ohm,637634.72 Ohm,635526.86 Ohm,671311.52 Ohm,674589.64 Ohm
8,706106.88 Ohm,891287.92 Ohm,993424.99 Ohm,759306.07 Ohm,916075.12 Ohm,1266623.05 Ohm,1069660.28 Ohm,831557.88 Ohm,681566.21 Ohm,673253.20 Ohm,663258.97 Ohm,616484.37 Ohm,703815.85 Ohm,704925.35 Ohm,769061.47 Ohm,752344.00 Ohm
9,519296.73 Ohm,644633.66 Ohm,859901.99 Ohm,633162.28 Ohm,836803.91 Ohm,1198130.19 Ohm,1047777.53 Ohm,805882.88 Ohm,682904.45 Ohm,606719.23 Ohm,620350.36 Ohm,594038.76 Ohm,659185.22 Ohm,681992.22 Ohm,762017.59 Ohm,730556.69 Ohm
0,593059.28 Ohm,755049.09 Ohm,1008144.68 Ohm,746444.28 Ohm,940140.51 Ohm,1346826.25 Ohm,1186111.68 Ohm,955877.03 Ohm,784086.74 Ohm,660011.35 Ohm,689801.90 Ohm,644132.90 Ohm,772203.53 Ohm,779387.97 Ohm,867572.82 Ohm,814877.51 Ohm
1,632763.36 Ohm,794846.91 Ohm,952229.40 Ohm,751350.11 Ohm,974761.39 Ohm,1332643.62 Ohm,1214753.36 Ohm,874846.08 Ohm,785029.95 Ohm,641618.52 Ohm,685063.99 Ohm,635605.31 Ohm,751600.64 Ohm,773001.48 Ohm,892503.04 Ohm,824409.58 Ohm
13,622793.97 Ohm,765897.75 Ohm,976645.89 Ohm,735268.54 Ohm,1000028.38 Ohm,1381933.22 Ohm,1190573.04 Ohm,891059.39 Ohm,830298.95 Ohm,680968.57 Ohm,704867.43 Ohm,655549.99 Ohm,770504.81 Ohm,775567.59 Ohm,928146.62 Ohm,855862.87 Ohm
6,645081.20 Ohm,816523.57 Ohm,1091731.00 Ohm,829989.30 Ohm,1074116.00 Ohm,1394081.98 Ohm,1207647.98 Ohm,1069707.47 Ohm,887091.39 Ohm,718763.49 Ohm,773884.86 Ohm,740267.32 Ohm,854224.60 Ohm,859249.49 Ohm,929394.23 Ohm,1007276.77 Ohm
7,576029.25 Ohm,696589.42 Ohm,909966.79 Ohm,722649.48 Ohm,914196.51 Ohm,1367015.33 Ohm,1147479.56 Ohm,948149.07 Ohm,785627.17 Ohm,634646.11 Ohm,683445.68 Ohm,623367.34 Ohm,775171.73 Ohm,685907.75 Ohm,903229.33 Ohm,871512.95 Ohm
15,527775.99 Ohm,622726.78 Ohm,976818.56 Ohm,679980.23 Ohm,809738.29 Ohm,1019601.83 Ohm,1064004.32 Ohm,798093.39 Ohm,728369.07 Ohm,597909.99 Ohm,630336.67 Ohm,642311.12 Ohm,695355.14 Ohm,656318.04 Ohm,820368.36 Ohm,776591.67 Ohm
