Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,21343676.828109343,-50.633877271401275
150,9179087.960323708,-65.26928924885611
250,6084937.187639856,-71.73269280504145
350,5301108.196652168,-73.40216855364811
450,4291940.578363949,-79.46142278415996
550,3688330.7184264055,-85.24634199516036
650,3168193.9379987023,-90.48543746774851
750,2827394.4512113933,-95.58221259304658
850,2506496.894644412,-99.4552832686869
950,2311584.919080057,-104.95791636050872
1050,2095817.2126921497,-108.2642614160918
