Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,1620288.8459412337,18.696536269636866
150,816783.1258897597,-3.478410122011767
250,1450123.1327974475,-10.526134387082053
350,1236798.9660053486,-27.92765787761688
450,685195.0449047802,-47.28139842729094
550,322117.4638906716,-71.05906953559271
650,83916.21489344565,-77.55217189403942
750,81177.76898292114,49.5443255119385
850,175141.36709962986,19.18745058831814
950,240461.35155842607,0.46109261905734056
1050,315360.30138991965,-15.321458003759666
