Frequency (Hz),Magnitude (Ohm),Phase (Degrees)
50,17616778.083191253,-56.869159458090216
150,8383614.072652993,-64.84549337610153
250,5709621.193344252,-71.27312396912835
350,4360653.772347124,-77.00651749647106
450,3521145.4069813737,-81.23864456437563
550,2880772.580808298,-84.31463238167734
650,2822534.215137552,-89.93451394895744
750,2592140.7817279506,-94.68881977703515
850,1871592.9135599833,-94.11461007361983
950,2070149.3827358943,-100.01074730652482
1050,1807786.06411676,-102.12188480089858
